"","call","Model","df","AIC","BIC","logLik","Test","L.Ratio","p-value","dataset","sig"
"cold.patch.AI.results.forest_type.aov_results.glmer(cbind(cold.obs.edges, cold.non.edges) ~ tree_stand_BA + (1 | transect/plot), dat = flir, family = binomial)",NA,NA,4,48344.1784770042,48361.766195625,-24168.0892385021,NA,NA,NA,"flir_patchAI",NA
"cold.patch.AI.results.forest_type.aov_results.glmer(cbind(cold.obs.edges, cold.non.edges) ~ tree_stand_BA + forest_type + (1 | transect/plot), dat = flir, family = binomial)",NA,NA,5,48345.8661714953,48367.8508197713,-24167.9330857476,NA,1,0.57626886693817,"flir_patchAI","NS"
"deadwood_vol.results.tree_stand_BA.aov_results.full_mod","lme.formula(fixed = vol_log ~ tree_stand_BA + forest_type, data = dat,     random = ~1 | transect, correlation = correlation, weights = weights,     method = method)",1,5,227.726132742518,238.197855553628,-108.863066371259,"",NA,NA,"deadwood_vol",NA
"deadwood_vol.results.tree_stand_BA.aov_results.red_mod","lme.formula(fixed = vol_log ~ forest_type, data = dat, random = ~1 |     transect, correlation = correlation, weights = weights, method = method)",2,4,229.506417038878,237.883795287767,-110.753208519439,"1 vs 2",3.78028429636055,0.0518598485428872,"deadwood_vol","NS"
"deadwood_vol.results.forest_type.aov_results.full_mod","lme.formula(fixed = vol_log ~ tree_stand_BA + forest_type, data = dat,     random = ~1 | transect, correlation = correlation, weights = weights,     method = method)",1,5,227.726132742518,238.197855553628,-108.863066371259,"",NA,NA,"deadwood_vol",NA
"deadwood_vol.results.forest_type.aov_results.red_mod","lme.formula(fixed = vol_log ~ tree_stand_BA, data = dat, random = ~1 |     transect, correlation = correlation, weights = weights, method = method)",2,4,225.989129985384,234.366508234273,-108.994564992692,"1 vs 2",0.262997242866447,0.60806844595831,"deadwood_vol","NS"
"hole_vol.results.tree_stand_BA.aov_results.full_mod","lme.formula(fixed = vol_log ~ tree_stand_BA + forest_type, data = dat,     random = ~1 | transect, correlation = correlation, weights = weights,     method = method)",1,5,255.551192400222,265.938879619751,-122.775596200111,"",NA,NA,"hole_vol",NA
"hole_vol.results.tree_stand_BA.aov_results.red_mod","lme.formula(fixed = vol_log ~ forest_type, data = dat, random = ~1 |     transect, correlation = correlation, weights = weights, method = method)",2,4,255.723355386304,264.033505161927,-123.861677693152,"1 vs 2",2.17216298608173,0.140528454423645,"hole_vol","NS"
"hole_vol.results.forest_type.aov_results.full_mod","lme.formula(fixed = vol_log ~ tree_stand_BA + forest_type, data = dat,     random = ~1 | transect, correlation = correlation, weights = weights,     method = method)",1,5,255.551192400222,265.938879619751,-122.775596200111,"",NA,NA,"hole_vol",NA
"hole_vol.results.forest_type.aov_results.red_mod","lme.formula(fixed = vol_log ~ tree_stand_BA, data = dat, random = ~1 |     transect, correlation = correlation, weights = weights, method = method)",2,4,256.604182054241,264.914331829864,-124.30209102712,"1 vs 2",3.05298965401875,0.0805886686764104,"hole_vol","NS"
"litter_vol.results.tree_stand_BA.aov_results.full_mod","lme.formula(fixed = vol ~ tree_stand_BA + forest_type, data = dat,     random = ~1 | transect, correlation = correlation, weights = weights,     method = method)",1,5,976.941913046721,987.413635857832,-483.470956523361,"",NA,NA,"litter_vol",NA
"litter_vol.results.tree_stand_BA.aov_results.red_mod","lme.formula(fixed = vol ~ forest_type, data = dat, random = ~1 |     transect, correlation = correlation, weights = weights, method = method)",2,4,981.998205687852,990.375583936741,-486.999102843926,"1 vs 2",7.05629264113122,0.0078987292474867,"litter_vol","**"
"litter_vol.results.forest_type.aov_results.full_mod","lme.formula(fixed = vol ~ tree_stand_BA + forest_type, data = dat,     random = ~1 | transect, correlation = correlation, weights = weights,     method = method)",1,5,976.941913046721,987.413635857832,-483.470956523361,"",NA,NA,"litter_vol",NA
"litter_vol.results.forest_type.aov_results.red_mod","lme.formula(fixed = vol ~ tree_stand_BA, data = dat, random = ~1 |     transect, correlation = correlation, weights = weights, method = method)",2,4,975.104171299284,983.481549548172,-483.552085649642,"1 vs 2",0.162258252562651,0.687085852071111,"litter_vol","NS"
